family,event,bank_event,tokens,train_pos,test_pos,firing_rate,bank_train_pos,bank_test_pos,count_matches_bank,bank_log10_evidence_proxy,bank_label_z,bank_full_cov_z,bank_offdiag_cov_z,sae_best_feature,sae_best_auc,sae_best_abs_auc_excess,sae_best_train_effect,sae_best_test_effect,sae_best_pos_mean,sae_best_neg_mean,random_best_feature,random_best_auc,random_best_abs_auc_excess,random_best_train_effect,random_best_test_effect,sae_minus_random_abs_auc_excess,sae_beats_random,sae_best_decoder_cosine_to_label_direction,sae_max_abs_decoder_cosine_to_label_direction
linguistic,noun_suffix,linguistic:noun_suffix,10000,79,75,0.0154,77.0,77.0,False,3.082374230348181,9.053051946983354,4.644703300471213,4.646802153959502,22896,0.5695499153976311,0.06954991539763111,0.2224530428647995,0.18903644382953644,0.07265014946460724,0.033560074865818024,22721,0.6243993231810491,0.12439932318104907,0.35320934653282166,0.512347936630249,-0.05484940778341796,False,0.21581847965717316,0.6179218292236328
linguistic,number_word,linguistic:number_word,10000,22,27,0.0049,25.0,24.0,False,3.2171065443706808,12.481269472821007,-0.29286805205354194,-0.290435529263943,1712,0.7035547512121009,0.20355475121210087,0.6878021955490112,0.878735363483429,6.768672466278076,0.00036289714626036584,17384,0.8276731386524268,0.32767313865242675,1.1480659246444702,1.1278705596923828,-0.12411838744032588,False,0.7586959004402161,0.8120614290237427
linguistic,preposition,linguistic:preposition,10000,313,298,0.0611,302.0,309.0,False,4.512950176137699,8.842190833257215,5.227266363984663,5.2297188362569065,11377,0.6191275167785235,0.11912751677852351,0.5912817120552063,0.5659463405609131,0.5233473777770996,0.0,22640,0.6463710287497252,0.14637102874972518,0.40590426325798035,0.37957844138145447,-0.027243511971201673,False,0.6440066695213318,0.6513391137123108
linguistic,pronoun,linguistic:pronoun,10000,94,110,0.0204,102.0,102.0,False,4.01991754835488,11.899690884167846,0.9986442446220702,0.9994846310370101,16198,0.6890435025097602,0.1890435025097602,0.7230685353279114,0.7962401509284973,0.6152696013450623,0.02373611368238926,10157,0.5945222160252835,0.09452221602528355,0.6110556125640869,0.5797868371009827,0.09452128648447666,True,0.23568567633628845,0.6174523234367371
linguistic,proper_name_proxy,linguistic:proper_name_proxy,10000,661,632,0.1293,623.0,670.0,False,4.820102630512467,7.825847039822863,10.995635462174656,10.996545232408339,19981,0.6065989489150091,0.1065989489150091,0.500356912612915,0.5203232169151306,0.4033629298210144,0.054528262466192245,5954,0.5839783074256967,0.08397830742569667,0.43767374753952026,0.479062020778656,0.02262064148931242,True,0.26954278349876404,0.4487341046333313
linguistic,verb_ed,linguistic:verb_ed,10000,170,201,0.0371,195.0,176.0,False,4.156934271298323,9.392409434449107,5.192143473247955,5.191966593508181,7941,0.5982361582377755,0.09823615823777554,0.6148198246955872,0.5916533470153809,0.9588918089866638,0.009347345679998398,17218,0.5908024992769015,0.09080249927690154,0.5198364853858948,0.4848160147666931,0.007433658960874001,True,0.5236744284629822,0.558076798915863
linguistic,verb_ing,linguistic:verb_ing,10000,82,99,0.0181,96.0,85.0,False,3.137894144276846,11.828722071100742,1.0591891500229422,1.0610270418414576,13168,0.599932192770389,0.099932192770389,0.41256868839263916,0.5928258895874023,0.5796785950660706,0.0030776862986385822,1500,0.6769696557494966,0.17696965574949663,0.6741072535514832,0.6987189650535583,-0.07703746297910763,False,0.3564092814922333,0.563539445400238
ner,ner_any,ner:ner_any,10000,733,782,0.1515,714.0,801.0,False,4.857768479905851,6.958892750512914,11.886721212218372,11.88888579885388,19981,0.5827065287120476,0.08270652871204764,0.3931945562362671,0.4196415841579437,0.31402894854545593,0.05868520215153694,13222,0.5644203565525412,0.06442035655254119,0.3245057761669159,0.3160437345504761,0.018286172159506453,True,0.21536052227020264,0.429085373878479
ner,ner_gpe,ner:ner_gpe,10000,102,113,0.0215,93.0,122.0,False,3.4575903651527544,7.38097843272498,8.101812788776252,8.101766112805807,11360,0.5750365336245158,0.07503653362451579,0.29225900769233704,0.4548887014389038,0.5908478498458862,0.02762441523373127,15691,0.5767550173749754,0.07675501737497537,0.255854994058609,0.4640701413154602,-0.0017184837504595762,False,0.15803566575050354,0.4927004277706146
ner,ner_organization,ner:ner_organization,10000,288,307,0.0595,299.0,296.0,False,4.115027355907094,7.677233662854575,11.543321307874919,11.542587642066325,19981,0.5975758475961495,0.09757584759614946,0.2989330291748047,0.44522932171821594,0.36448365449905396,0.08122913539409637,5954,0.5935345524660403,0.09353455246604025,0.5340015888214111,0.4927610754966736,0.0040412951301092015,True,0.1973818987607956,0.4319409132003784
ner,ner_person,ner:ner_person,10000,334,348,0.0682,310.0,372.0,False,4.190105862940451,6.853024653389164,8.91888271233228,8.918861021892065,6854,0.5759409498818948,0.07594094988189481,0.35659465193748474,0.38318324089050293,0.1830027848482132,0.03050713799893856,14437,0.5654294655122998,0.06542946551229978,0.4271411895751953,0.3737811744213104,0.010511484369595037,True,0.37043285369873047,0.520045816898346
