family,event,bank_event,tokens,train_tokens,test_tokens,firing_rate,train_pos,test_pos,geometry,lambda_eff,evidence_proxy,log10_evidence_proxy,label_stat,label_z,full_cov_stat,full_cov_z,offdiag_cov_stat,offdiag_cov_z,label_p_two_sided_normal,label_bh_q,full_cov_p_two_sided_normal,full_cov_bh_q,offdiag_cov_p_two_sided_normal,offdiag_cov_bh_q,label_fdr_005,full_cov_fdr_005,offdiag_cov_fdr_005
lexical,hyphen_piece,lexical:hyphen_piece,10000.0,5000.0,5000.0,0.0241,117.0,124.0,0.996346783824265,3.0526811886343705,108154.93437380187,5.034046338129511,19.905370712280273,8.200215794093092,12.441563606262207,8.426447652927438,11.433476448059082,8.426298684774409,2.3995589420632064e-16,3.417553644756688e-16,3.563171058439288e-17,1.5224458158786047e-16,3.567707986610068e-17,1.5243843215515745e-16,True,True,True
linguistic,determiner,linguistic:determiner,10000.0,5000.0,5000.0,0.0821,420.0,401.0,0.9933287315070629,2.764577343184052,72530.05191662337,4.860517988327525,10.070695877075195,8.98793171889617,9.826866149902344,5.519079083386011,8.823284149169922,5.522835615483257,2.5192646891131697e-19,5.148062625579086e-19,3.4078081621295846e-08,7.626999220004307e-08,3.335717976341622e-08,7.465654518478868e-08,True,True,True
linguistic,pronoun,linguistic:pronoun,10000.0,5000.0,5000.0,0.0204,102.0,102.0,0.9960983279161155,1.7028497544936876,10469.297675462263,4.01991754835488,12.045833587646484,11.899690884167846,5.12478494644165,0.9986442446220702,4.118697166442871,0.9994846310370101,1.1878633126654442e-32,2.791478784763794e-31,0.31796705884468424,0.32487938621087303,0.3175599805343249,0.3244634583720276,True,False,False
linguistic,preposition,linguistic:preposition,10000.0,5000.0,5000.0,0.0611,302.0,309.0,0.9956033169291914,2.261978418832311,32579.93219599124,4.512950176137699,9.444047927856445,8.842190833257215,9.287797927856445,5.227266363984663,8.283574104309082,5.2297188362569065,9.385973318545294e-19,1.764562983886515e-18,1.7203457632873157e-07,3.515489168456689e-07,1.6976803510988448e-07,3.4691728913759e-07,True,True,True
linguistic,conjunction,linguistic:conjunction,10000.0,5000.0,5000.0,0.0308,164.0,144.0,0.9955705655738711,2.1244824153189144,25350.972485943956,4.403994623913075,12.296204566955566,11.216337213862294,5.852588176727295,1.8636043608886423,4.847229957580566,1.8655220094746299,3.3902309948818045e-29,1.5934085675944483e-28,0.06237728480516927,0.07329330964607389,0.06210827008209186,0.07297721734645793,True,False,False
linguistic,number_word,linguistic:number_word,10000.0,5000.0,5000.0,0.0049,25.0,24.0,0.9960380760021508,1.0727046115661476,1648.566780652965,3.2171065443706808,15.362034797668457,12.481269472821007,3.741346836090088,-0.29286805205354194,2.736436367034912,-0.290435529263943,9.446834976004322e-36,4.440012438722031e-34,0.7696230094287451,0.7696230094287452,0.7714830660747678,0.7714830660747679,True,False,False
linguistic,verb_ing,linguistic:verb_ing,10000.0,5000.0,5000.0,0.0181,96.0,85.0,0.995969969779253,1.0249070295476126,1373.707104346964,3.137894144276846,7.687967777252197,11.828722071100742,5.034757614135742,1.0591891500229422,4.029545783996582,1.0610270418414576,2.773318067141766e-32,3.5478324953247933e-31,0.28951364535489793,0.3023809184817823,0.2886776119919048,0.3015077280804339,True,False,False
linguistic,verb_ed,linguistic:verb_ed,10000.0,5000.0,5000.0,0.0371,195.0,176.0,0.9956654664129019,1.84279787799173,14352.721943118142,4.156934271298323,9.749899864196777,9.392409434449107,8.738245964050293,5.192143473247955,7.730255126953125,5.191966593508181,5.864312253814966e-21,1.7226417245581464e-20,2.078867011068622e-07,4.071114563342718e-07,2.0808434592453713e-07,4.074985107688852e-07,True,True,True
linguistic,noun_suffix,linguistic:noun_suffix,10000.0,5000.0,5000.0,0.0154,77.0,77.0,0.9947151867672801,0.9929819798287071,1208.8550534751193,3.082374230348181,8.064010620117188,9.053051946983354,7.681569576263428,4.644703300471213,6.676490783691406,4.646802153959502,1.3902712051050798e-19,3.1115593638066075e-19,3.4056553720361532e-06,5.335526749523307e-06,3.3712020639082213e-06,5.28154990012288e-06,True,True,True
linguistic,adj_suffix,linguistic:adj_suffix,10000.0,5000.0,5000.0,0.0264,140.0,124.0,0.9948362074792385,1.2305721026742444,2851.608217102747,3.4550898574918003,7.6756439208984375,9.633601962474408,6.7478790283203125,2.875674194695548,5.741137504577637,2.8763135644365563,5.76716656689707e-22,1.936120204601159e-21,0.00403165617864699,0.005742055769588137,0.004023497997177378,0.005730436541434447,True,True,True
linguistic,proper_name_proxy,linguistic:proper_name_proxy,10000.0,5000.0,5000.0,0.1293,623.0,670.0,0.9957982548512518,2.6993258527760347,66084.95985519099,4.820102630512467,8.044920921325684,7.825847039822863,13.795900344848633,10.995635462174656,12.788000106811523,10.996545232408339,5.042501350444341e-15,6.7713589563109715e-15,4.0107835853169845e-28,2.3563353563737284e-27,3.9705367762887607e-28,2.332690356069647e-27,True,True,True
pos_tagger,pos_noun,pos_tagger:pos_noun,10000.0,5000.0,5000.0,0.3518,1732.0,1786.0,0.9924988998100162,3.2596103988372263,140056.35692882878,5.146302825522726,6.825952529907227,6.945570532828806,15.821489334106445,13.560338220860986,14.811958312988281,13.558404919333412,3.769338404669572e-12,4.026338750442498e-12,6.881803644342205e-42,8.086119282102091e-41,7.065587711375752e-42,8.302065560866508e-41,True,True,True
pos_tagger,pos_proper_noun,pos_tagger:pos_proper_noun,10000.0,5000.0,5000.0,0.1897,911.0,986.0,0.994981687515974,3.2515821497375463,139028.55971099422,5.143104023641405,8.293505668640137,7.145339990066446,15.903097152709961,12.360324891358577,14.894966125488281,12.361960642458751,8.977341021862779e-13,1.0046072095894064e-12,4.28421696124485e-35,4.0271639435701584e-34,4.1979125544089036e-35,3.94603780114437e-34,True,True,True
pos_tagger,pos_plural_noun,pos_tagger:pos_plural_noun,10000.0,5000.0,5000.0,0.0529,279.0,250.0,0.9952955585904419,1.840892570805068,14288.145343679183,4.154975859352198,8.224370956420898,8.677928494870189,8.647032737731934,4.69668623151352,7.643853187561035,4.701306253039204,4.030422954691831e-18,7.015921439648743e-18,2.64416154793815e-06,4.2853652673480365e-06,2.5850246845909948e-06,4.189522764681957e-06,True,True,True
pos_tagger,pos_verb,pos_tagger:pos_verb,10000.0,5000.0,5000.0,0.1085,547.0,538.0,0.9948510900139809,2.313064314597086,35597.45313996986,4.5514189269946606,7.437246322631836,8.573712951321928,10.627461433410645,6.318259693992439,9.617145538330078,6.316488312275168,1.002009915803912e-17,1.6819452158137092e-17,2.645252275195701e-10,6.907047607455442e-10,2.675736745691633e-10,6.986645947083709e-10,True,True,True
pos_tagger,pos_past_verb,pos_tagger:pos_past_verb,10000.0,5000.0,5000.0,0.0697,349.0,348.0,0.9952671909704804,2.1552588190287554,26844.01199150964,4.428847424148326,8.463919639587402,9.012468119934509,9.834660530090332,6.874611127006597,8.824727058410645,6.87074047752133,2.0147031064821537e-19,4.304138454757328e-19,6.215918690538105e-12,1.8259261153455684e-11,6.386949652022369e-12,1.876166460281571e-11,True,True,True
pos_tagger,pos_gerund,pos_tagger:pos_gerund,10000.0,5000.0,5000.0,0.0123,67.0,56.0,0.9964307830668986,0.9057322710848548,838.2170998447557,2.923356516307499,8.217406272888184,10.319513899036092,5.47646427154541,1.575864712143595,4.4694061279296875,1.5759388753827994,5.75135961587468e-25,2.2526158495509165e-24,0.11505698493250648,0.12575996027506522,0.1150398906506231,0.12574127582742525,True,False,False
pos_tagger,pos_adjective,pos_tagger:pos_adjective,10000.0,5000.0,5000.0,0.0571,293.0,278.0,0.9948401651345193,1.6147773675461274,8455.006368463673,3.92711393905234,6.959239482879639,9.329260461654542,7.929789066314697,4.865345666160479,6.922244071960449,4.864751660610407,1.0661216917165153e-20,2.947512912392719e-20,1.142569398789174e-06,1.9889171015959696e-06,1.1460060711764044e-06,1.994899457233e-06,True,True,True
pos_tagger,pos_adverb,pos_tagger:pos_adverb,10000.0,5000.0,5000.0,0.0196,93.0,103.0,0.9958196738734841,1.39133602494414,4664.647558839329,3.6688188358566802,10.03696346282959,11.821582306119494,5.602382659912109,1.7897976802525801,4.594673156738281,1.7891678847584604,3.0194319109147176e-32,3.5478324953247933e-31,0.07348644225416189,0.08424055575477093,0.0735877820842595,0.08435672580390724,True,False,False
pos_tagger,pos_determiner,pos_tagger:pos_determiner,10000.0,5000.0,5000.0,0.0802,406.0,396.0,0.9932068204507232,2.7709124553302966,73188.17629845874,4.864440925551628,10.2020845413208,8.48529534630824,9.889924049377441,6.166922506377433,8.88624095916748,6.170194219578676,2.1517151038838546e-17,3.371020329418039e-17,6.963186042827457e-10,1.72247233690995e-09,6.820615954610587e-10,1.6872049992984082e-09,True,True,True
pos_tagger,pos_preposition,pos_tagger:pos_preposition,10000.0,5000.0,5000.0,0.1043,513.0,530.0,0.9955891030840576,2.640489635829588,60496.188920615634,4.781728016257762,8.638951301574707,8.371574008342405,10.46351146697998,7.264110845680546,9.458953857421875,7.267916730563498,5.685364715858201e-17,8.350379426416733e-17,3.7550000113803555e-13,1.1765666702325114e-12,3.65073702176128e-13,1.1438976001518678e-12,True,True,True
pos_tagger,pos_pronoun,pos_tagger:pos_pronoun,10000.0,5000.0,5000.0,0.0197,98.0,99.0,0.9959616204723716,1.7016707205251582,10438.899619233836,4.018654721417069,12.245116233825684,11.4176487105877,5.163599014282227,1.0749146554958513,4.158196926116943,1.0765058621068715,3.413441524395864e-30,2.6738625274434265e-29,0.28241293988975225,0.30166836760950805,0.28170108059955135,0.30090797245861167,True,False,False
pos_tagger,pos_cardinal,pos_tagger:pos_cardinal,10000.0,5000.0,5000.0,0.0388,217.0,171.0,0.9962362751830369,2.722239456245258,68387.6470820439,4.834977661828317,14.0962495803833,7.635570845701188,10.651327133178711,7.442280805414372,9.650227546691895,7.448287428780848,2.2482203736488092e-14,2.7806936200393168e-14,9.89615798957049e-14,3.3222816107843785e-13,9.45596346118679e-14,3.174502019112708e-13,True,True,True
pos_tagger,pos_conjunction,pos_tagger:pos_conjunction,10000.0,5000.0,5000.0,0.0279,147.0,132.0,0.9955305997282267,2.185543270275122,28392.410374288796,4.4532022635303345,13.270944595336914,11.377090834417292,5.742020130157471,2.043953535494616,4.736787796020508,2.045842602527263,5.438372699337516e-30,3.6514788124123325e-29,0.04095813759311629,0.05065874912832804,0.04077185899046245,0.05042835190925619,True,False,False
ner,ner_any,ner:ner_any,10000.0,5000.0,5000.0,0.1515,714.0,801.0,0.9950852990150452,2.7589862696328757,72072.31630425395,4.857768479905851,7.695153713226318,6.958892750512914,15.451602935791016,11.886721212218372,14.443265914916992,11.88888579885388,3.4295746576697614e-12,3.7486048583832275e-12,1.3874711154241206e-32,1.0868523737488946e-31,1.3519810667982544e-32,1.0590518356586325e-31,True,True,True
ner,ner_person,ner:ner_person,10000.0,5000.0,5000.0,0.0682,310.0,372.0,0.995319782756269,1.8784874739234434,15491.942020353326,4.190105862940451,7.451689720153809,6.853024653389164,13.336566925048828,8.91888271233228,12.329216957092285,8.918861021892065,7.230461908901968e-12,7.551815771519833e-12,4.710158755999368e-19,2.213774615319703e-18,4.71108123014138e-19,2.2142081781664488e-18,True,True,True
ner,ner_organization,ner:ner_organization,10000.0,5000.0,5000.0,0.0595,299.0,296.0,0.9955736487172544,1.7989164264208464,13032.48866605824,4.115027355907094,7.6045427322387695,7.677233662854575,13.714156150817871,11.543321307874919,12.705655097961426,11.542587642066325,1.6256075760097552e-14,2.0649609749313106e-14,7.978394168917158e-31,5.356921799130091e-30,8.04675150131898e-31,5.402818865171315e-30,True,True,True
ner,ner_gpe,ner:ner_gpe,10000.0,5000.0,5000.0,0.0215,93.0,122.0,0.9958600932732224,1.2320277947276446,2868.074083579535,3.4575903651527544,8.494168281555176,7.38097843272498,11.383809089660645,8.101812788776252,10.375144958496094,8.101766112805807,1.571304622719589e-13,1.8936235196877097e-13,5.414622265825504e-16,2.1207270541149894e-15,5.416700561541269e-16,2.1215410532703305e-15,True,True,True
ner,ner_person_or_org,ner:ner_person_or_org,10000.0,5000.0,5000.0,0.1277,609.0,668.0,0.9951565363444388,2.4662928944259823,46023.53992840299,4.6629800196400195,7.389520645141602,7.165820364915481,15.308432579040527,13.790134814918552,14.30028247833252,13.787969423712935,7.732210886158315e-13,8.863753942669288e-13,2.922133379313854e-43,4.578008960925038e-42,3.0111681044737563e-43,4.717496697008885e-42,True,True,True
ner,ner_place_like,ner:ner_place_like,10000.0,5000.0,5000.0,0.0235,104.0,131.0,0.9958876217715442,1.2625366867878274,3162.9794786138873,3.5000963742256626,8.334392547607422,7.8819276600525034,11.65198802947998,8.06701783826452,10.643562316894531,8.066313386167433,3.2236864911379433e-15,4.456272502455392e-15,7.203602756344679e-16,2.604379458063076e-15,7.245268923689797e-16,2.6194433801032343e-15,True,True,True
semantic_cluster,semantic_cluster_00,semantic_cluster:semantic_cluster_00,10000.0,5000.0,5000.0,0.0166,76.0,90.0,0.9959080079570413,0.8513263043528727,653.9031769545028,2.815513447364994,6.663108825683594,8.415360851129202,6.552117347717285,2.4928049560138725,5.545008659362793,2.4931342547557764,3.9168729411112177e-17,5.93848478168475e-17,0.012673844436552204,0.0165464080143876,0.012662095939604191,0.016531069698927692,True,True,True
semantic_cluster,semantic_cluster_01,semantic_cluster:semantic_cluster_01,10000.0,5000.0,5000.0,0.0237,114.0,123.0,0.9962679529562593,1.3725735607987137,4420.065343201601,3.645428689707038,9.023391723632812,9.191141599227807,8.320914268493652,4.752078217123786,7.311952590942383,4.751411140724308,3.886940340009564e-20,1.0149233110024973e-19,2.013364526323651e-06,3.3795761691861284e-06,2.020019271502287e-06,3.3907466343074102e-06,True,True,True
semantic_cluster,semantic_cluster_02,semantic_cluster:semantic_cluster_02,10000.0,5000.0,5000.0,0.0234,113.0,121.0,0.995827759616077,0.8383923593958136,615.0118566584827,2.7888834885099154,5.546014785766602,9.421084893646723,6.709648609161377,2.627670716275764,5.701842308044434,2.6275535405018307,4.464509370465617e-21,1.3988796027458934e-20,0.008597169132857484,0.011544769978408621,0.008600130677736684,0.011548746910103547,True,True,True
semantic_cluster,semantic_cluster_03,semantic_cluster:semantic_cluster_03,10000.0,5000.0,5000.0,0.0405,189.0,216.0,0.9961634869687259,1.4317406767264593,5232.365665256625,3.7186980871613815,7.262971878051758,9.11590685133872,7.890033721923828,4.878244418773632,6.880226135253906,4.874962412855305,7.80152499438137e-20,1.833358373679622e-19,1.0703423982109072e-06,1.9348497198427937e-06,1.088291746158508e-06,1.9672966180557644e-06,True,True,True
semantic_cluster,semantic_cluster_04,semantic_cluster:semantic_cluster_04,10000.0,5000.0,5000.0,0.0413,203.0,210.0,0.9962684512138367,1.4994176299681916,6294.726170731107,3.798976842445935,7.535398483276367,8.820057747518318,9.775136947631836,5.46874981644012,8.76647663116455,5.467234699756841,1.1440070689695967e-18,2.0680127785219632e-18,4.532209399653549e-08,9.682447353805309e-08,4.571106314701994e-08,9.765545308681533e-08,True,True,True
semantic_cluster,semantic_cluster_05,semantic_cluster:semantic_cluster_05,10000.0,5000.0,5000.0,0.0246,128.0,118.0,0.9964040219783783,1.546296949434985,7120.608056334004,3.8525170813103125,9.982377052307129,8.54695039444134,8.508565902709961,4.882374111975074,7.500491142272949,4.881468501178819,1.2638347905008579e-17,2.0482839708117353e-17,1.0481615488480333e-06,1.9348497198427937e-06,1.052987445315152e-06,1.9672966180557644e-06,True,True,True
semantic_cluster,semantic_cluster_06,semantic_cluster:semantic_cluster_06,10000.0,5000.0,5000.0,0.0237,132.0,105.0,0.9958237577229738,1.1603366493289178,2256.46465380205,3.3534285349406074,7.628131866455078,9.175301805451408,7.093706130981445,3.218850280200084,6.089746475219727,3.222661175743209,4.5031125297513574e-20,1.1139278363069148e-19,0.001287056672256738,0.001890364487377084,0.00127005689772937,0.0018653960685400123,True,True,True
