seed_id,n_samples,predicted_f_dark,observed_floor,within_population_sd
14,5700,0.6685401510315938,0.6566539920365043,0.013639829716144566
14,8600,0.5974893338910393,0.6074956274262332,0.010498336861870544
14,13000,0.5619629262990132,0.5562634755721373,0.01164570074299032
14,19500,0.508155577542716,0.5046991899576464,0.010213236237625824
14,29200,0.44714964687028,0.4480516065329832,0.009238851418959384
15,500,0.8292535275450768,0.8335371184447311,0.017641010125893516
15,750,0.8108071904842575,0.8064014694139534,0.015073081632165973
15,1100,0.7724555706692691,0.7866068016933455,0.013733920263114627
15,1650,0.7724555706692691,0.7527142058482958,0.015803038817883846
15,2500,0.7203836510177135,0.7188083500498498,0.015341916116757743
15,3800,0.6692654717861646,0.6749782275475977,0.012471091174666965
15,5700,0.645874467043712,0.6406550479810951,0.008317486086355214
15,8600,0.60662464213969,0.6049875989565653,0.009272165549557482
15,13000,0.5713856720613293,0.5602655411203746,0.010452845668936638
15,19500,0.5098010853836025,0.503553946727959,0.011122853494675886
15,29200,0.43812204170776703,0.4424351708308655,0.010180834420313674
16,500,0.8148416887152268,0.8239830290248943,0.012278512723902301
16,750,0.8148416887152268,0.8064416762934836,0.011754228870810996
16,1100,0.7983100470819557,0.7942356652581666,0.01043328370927596
16,1650,0.7741426475435818,0.7710128994272856,0.012555467446913297
16,2500,0.754185218474884,0.7371499512979884,0.013838333026344322
16,3800,0.6854762842702201,0.6840818891197193,0.013631191945484403
16,5700,0.6217394085726159,0.6358244221807949,0.013256304094952414
16,8600,0.5919514795320941,0.5946847488171999,0.010090958273461258
16,13000,0.5588928251543528,0.5495786764235777,0.010294157727152586
16,19500,0.4975062640167597,0.500365476754884,0.010559912760313497
16,29200,0.4569750665102705,0.45322799103898087,0.008656505834782065
17,500,0.8366170685835453,0.8287622160104924,0.011170403684733992
17,750,0.8181103721892353,0.8056529901700863,0.016211574994175918
17,1100,0.7771879194059198,0.7779183418319018,0.016079688648174443
17,1650,0.730077088438355,0.7447288399448857,0.01264479283167822
17,2500,0.7187834906512841,0.7144014326894489,0.010108541545190725
17,3800,0.6948243963505135,0.6903053136996713,0.008858423725021845
17,5700,0.6661866378631579,0.6600530599065209,0.008782868095885849
17,8600,0.6207439010275116,0.6146146332609705,0.011425563430293545
17,13000,0.5627405061671211,0.5606899218729262,0.014246910960118384
17,19500,0.5034651554666554,0.5022317132501752,0.009531892361572349
17,29200,0.43616065552381883,0.4360298526846866,0.010231181042377009
18,500,0.8437921279186886,0.8477127778958253,0.017746124666755014
18,750,0.810494261779991,0.8224570416577336,0.015749138572340723
18,1100,0.7975066093003451,0.7921347921504719,0.015299746287201012
18,1650,0.7463614381774158,0.7568737964813943,0.015856587619321908
18,2500,0.7283760552054864,0.7212169957527654,0.013628596403907822
18,3800,0.6904960372085972,0.6861155344081608,0.013821030304166317
18,5700,0.6561212348869292,0.648475023145611,0.009748633089252334
18,8600,0.6089122213197539,0.6086158362720646,0.012467962650577334
18,13000,0.5491574672193238,0.5503167504136489,0.010052239643662813
18,19500,0.4862814810210336,0.4940905121420126,0.011802534491705595
18,29200,0.43269891462153576,0.4357806375769213,0.009711306968389477
19,500,0.7978481434202801,0.7899673076098729,0.011562570991381986
19,750,0.7816645219199757,0.773533957685611,0.012306922987779951
19,1100,0.7547032633851419,0.7490302518406556,0.013115561353369597
19,1650,0.7202054741154795,0.7206218971267496,0.013118766786899527
19,2500,0.6899295830006293,0.6927366100759005,0.010771904049594543
19,3800,0.6583654926656058,0.6665487807044392,0.00979140207653937
19,5700,0.6518451451113744,0.633740514432717,0.010788286588062078
19,8600,0.5912014234375426,0.5856962822686469,0.01183117404016038
19,13000,0.5329849304819887,0.5308179667701076,0.010624550860629354
19,19500,0.48604085690275994,0.48148890747312956,0.00845584025579851
19,29200,0.44169894235153545,0.4270003399887658,0.00857365953677728
20,500,0.8087470295740391,0.8124076685381348,0.014356946252582097
20,750,0.7947238249948192,0.7918023232254658,0.014590868472948427
20,1100,0.7515724213874386,0.7619347097174314,0.011733914887134166
20,1650,0.7289443347513557,0.7365261580428646,0.011321273540540862
20,2500,0.7195712148364298,0.7073555165468018,0.010909124149740617
20,3800,0.6725034980507597,0.6691016997743896,0.011381219442078302
20,5700,0.6175633420740432,0.6195644478620391,0.011451439095476018
20,8600,0.5751749465126056,0.5757552621630433,0.011087276274762988
20,13000,0.5381844339150502,0.5335591816884008,0.00940773938119329
20,19500,0.4989568822095388,0.4910076340263453,0.008315574775369915
20,29200,0.4252410973209404,0.43440550254566296,0.010055497508213244
21,500,0.8432650842399084,0.8339241454223189,0.016514361836104014
21,750,0.7954152682490425,0.8006308508709117,0.01764044036244042
21,1100,0.7669196514829586,0.7781897063242249,0.013409247176931295
21,1650,0.7669196514829586,0.7468357150804499,0.012546913467836377
21,2500,0.7068147770015824,0.7114615391676052,0.014776675015298528
21,3800,0.674666238522757,0.6634834975840554,0.014183079253008877
21,5700,0.6035428088603244,0.6167941418448517,0.011559248818417304
21,8600,0.5861230099790439,0.579204095793268,0.009544323889932519
21,13000,0.5481926417487769,0.5429230063171417,0.00874874309644234
21,19500,0.4896146412944298,0.49372688142052085,0.010031161787016692
21,29200,0.44255350508616054,0.4383948215441193,0.008739045980222088
22,500,0.8656489926762881,0.8556006975941992,0.016909991229683556
22,750,0.8310089475065604,0.8367148738052759,0.013064270763427569
22,1100,0.8168279010365831,0.8132804319900281,0.01505077650989887
