seed_id,lambda,active_coordinates,c_i,n_samples,evidence,power
0,0.4,5,0.2,332,1.6998400000000005,0.17714285714285713
0,0.4,5,0.2,508,2.6009600000000006,0.21714285714285714
0,0.4,5,0.2,781,3.9987200000000014,0.28
0,0.4,5,0.2,1211,6.200320000000001,0.44571428571428573
0,0.4,8,0.21875,125,0.7000000000000002,0.10285714285714286
0,0.4,8,0.21875,196,1.0976000000000001,0.1
0,0.4,8,0.21875,304,1.7024000000000004,0.15142857142857144
0,0.4,8,0.21875,464,2.5984000000000003,0.19428571428571428
0,0.4,8,0.21875,714,3.9984000000000006,0.29428571428571426
0,0.4,8,0.21875,1107,6.199200000000001,0.49142857142857144
0,0.48,2,0.12500000000000006,105,0.6967296000000002,0.06571428571428571
0,0.48,2,0.12500000000000006,166,1.1014963200000003,0.09142857142857143
0,0.48,2,0.12500000000000006,256,1.6986931200000004,0.12857142857142856
0,0.48,2,0.12500000000000006,392,2.6011238400000005,0.2542857142857143
0,0.48,2,0.12500000000000006,603,4.001218560000001,0.3142857142857143
0,0.48,2,0.12500000000000006,934,6.197575680000002,0.44285714285714284
0,0.48,3,0.16666666666666663,80,0.7077887999999998,0.10857142857142857
0,0.48,3,0.16666666666666663,124,1.0970726399999995,0.1657142857142857
0,0.48,3,0.16666666666666663,192,1.6986931199999993,0.11142857142857143
0,0.48,3,0.16666666666666663,294,2.6011238399999987,0.15142857142857144
0,0.48,3,0.16666666666666663,452,3.9990067199999983,0.2857142857142857
0,0.48,3,0.16666666666666663,701,6.201999359999998,0.44
0,0.48,5,0.2,80,0.8493465599999999,0.1
0,0.48,5,0.2,104,1.104150528,0.17714285714285713
0,0.48,5,0.2,160,1.6986931199999997,0.14
0,0.48,5,0.2,245,2.6011238399999996,0.2714285714285714
0,0.48,5,0.2,377,4.0025456639999994,0.2742857142857143
0,0.48,5,0.2,584,6.200229888,0.52
0,0.48,8,0.21875,80,0.9289727999999998,0.1657142857142857
0,0.48,8,0.21875,95,1.1031551999999998,0.10571428571428572
0,0.48,8,0.21875,146,1.6953753599999997,0.21428571428571427
0,0.48,8,0.21875,224,2.6011238399999996,0.21142857142857144
0,0.48,8,0.21875,344,3.9945830399999993,0.3628571428571429
0,0.48,8,0.21875,534,6.200893439999999,0.3942857142857143
0,0.57,2,0.12500000000000006,80,1.0556001000000002,0.11714285714285715
0,0.57,2,0.12500000000000006,83,1.0951851037500002,0.18857142857142858
0,0.57,2,0.12500000000000006,129,1.7021551612500003,0.09428571428571429
0,0.57,2,0.12500000000000006,197,2.5994152462500004,0.2
0,0.57,2,0.12500000000000006,303,3.9980853787500004,0.3028571428571429
0,0.57,2,0.12500000000000006,470,6.201650587500001,0.5542857142857143
0,0.57,3,0.16666666666666663,80,1.4074667999999992,0.14857142857142858
0,0.57,3,0.16666666666666663,80,1.4074667999999992,0.12571428571428572
0,0.57,3,0.16666666666666663,97,1.7065534949999992,0.23714285714285716
0,0.57,3,0.16666666666666663,148,2.6038135799999984,0.26571428571428574
0,0.57,3,0.16666666666666663,227,3.9936870449999975,0.38
0,0.57,3,0.16666666666666663,352,6.1928539199999975,0.5628571428571428
0,0.57,5,0.2,80,1.6889601599999995,0.15714285714285714
0,0.57,5,0.2,80,1.6889601599999995,0.22
0,0.57,5,0.2,81,1.7100721619999995,0.2342857142857143
0,0.57,5,0.2,123,2.5967762459999992,0.21714285714285714
0,0.57,5,0.2,189,3.9901683779999995,0.32857142857142857
0,0.57,5,0.2,294,6.2069285879999985,0.5114285714285715
0,0.57,8,0.21875,80,1.8473001749999995,0.16
0,0.57,8,0.21875,80,1.8473001749999995,0.2057142857142857
0,0.57,8,0.21875,80,1.8473001749999995,0.20857142857142857
0,0.57,8,0.21875,113,2.609311497187499,0.21714285714285714
0,0.57,8,0.21875,173,3.994786628437499,0.34285714285714286
0,0.57,8,0.21875,268,6.188455586249998,0.4828571428571429
1,0.34,2,0.12500000000000006,419,0.6999059800000005,0.12285714285714286
1,0.34,2,0.12500000000000006,659,1.100806780000001,0.12571428571428572
1,0.34,2,0.12500000000000006,1018,1.7004875600000013,0.16857142857142857
1,0.34,2,0.12500000000000006,1556,2.599173520000002,0.2257142857142857
1,0.34,2,0.12500000000000006,2395,4.000655900000003,0.3057142857142857
1,0.34,2,0.12500000000000006,3712,6.2005990400000055,0.4542857142857143
1,0.34,3,0.16666666666666663,314,0.6993491733333335,0.13142857142857142
1,0.34,3,0.16666666666666663,494,1.1002499733333335,0.07714285714285714
1,0.34,3,0.16666666666666663,763,1.6993739466666669,0.12285714285714286
1,0.34,3,0.16666666666666663,1167,2.5991735200000003,0.16857142857142857
