seed_id,lambda,active_coordinates,geometry,power,predicted_coefficient
5,0.5,2,0.5000000000000002,0.9985714285714286,0.12500000000000006
5,0.5,3,0.6666666666666665,1.0,0.16666666666666663
5,0.5,4,0.75,1.0,0.1875
5,0.5,5,0.8,1.0,0.2
5,0.5,6,0.8333333333333333,1.0,0.20833333333333331
5,0.5,7,0.8571428571428572,1.0,0.2142857142857143
5,0.5,8,0.875,1.0,0.21875
6,0.34,1,0.0,0.08142857142857143,0.0
6,0.34,2,0.5000000000000002,0.4471428571428571,0.12500000000000006
6,0.34,3,0.6666666666666665,0.5385714285714286,0.16666666666666663
6,0.34,4,0.75,0.61,0.1875
6,0.34,5,0.8,0.6971428571428572,0.2
6,0.34,6,0.8333333333333333,0.6971428571428572,0.20833333333333331
6,0.34,7,0.8571428571428572,0.7485714285714286,0.2142857142857143
6,0.34,8,0.875,0.7485714285714286,0.21875
6,0.42,1,0.0,0.05714285714285714,0.0
6,0.42,2,0.5000000000000002,0.9071428571428571,0.12500000000000006
6,0.42,3,0.6666666666666665,0.9514285714285714,0.16666666666666663
6,0.42,4,0.75,0.9757142857142858,0.1875
6,0.42,5,0.8,0.9928571428571429,0.2
6,0.42,6,0.8333333333333333,0.9771428571428571,0.20833333333333331
6,0.42,7,0.8571428571428572,0.9928571428571429,0.2142857142857143
6,0.42,8,0.875,0.9942857142857143,0.21875
6,0.5,1,0.0,0.1,0.0
6,0.5,2,0.5000000000000002,0.9971428571428571,0.12500000000000006
6,0.5,3,0.6666666666666665,1.0,0.16666666666666663
6,0.5,4,0.75,1.0,0.1875
6,0.5,5,0.8,1.0,0.2
6,0.5,6,0.8333333333333333,1.0,0.20833333333333331
6,0.5,7,0.8571428571428572,1.0,0.2142857142857143
6,0.5,8,0.875,1.0,0.21875
7,0.34,1,0.0,0.09,0.0
7,0.34,2,0.5000000000000002,0.4685714285714286,0.12500000000000006
7,0.34,3,0.6666666666666665,0.6357142857142857,0.16666666666666663
7,0.34,4,0.75,0.6714285714285714,0.1875
7,0.34,5,0.8,0.6371428571428571,0.2
7,0.34,6,0.8333333333333333,0.69,0.20833333333333331
7,0.34,7,0.8571428571428572,0.7342857142857143,0.2142857142857143
7,0.34,8,0.875,0.7485714285714286,0.21875
7,0.42,1,0.0,0.06,0.0
7,0.42,2,0.5000000000000002,0.8857142857142857,0.12500000000000006
7,0.42,3,0.6666666666666665,0.9557142857142857,0.16666666666666663
7,0.42,4,0.75,0.97,0.1875
7,0.42,5,0.8,0.9871428571428571,0.2
7,0.42,6,0.8333333333333333,0.99,0.20833333333333331
7,0.42,7,0.8571428571428572,0.9957142857142857,0.2142857142857143
7,0.42,8,0.875,0.9957142857142857,0.21875
7,0.5,1,0.0,0.08714285714285715,0.0
7,0.5,2,0.5000000000000002,0.9957142857142857,0.12500000000000006
7,0.5,3,0.6666666666666665,1.0,0.16666666666666663
7,0.5,4,0.75,1.0,0.1875
7,0.5,5,0.8,1.0,0.2
7,0.5,6,0.8333333333333333,1.0,0.20833333333333331
7,0.5,7,0.8571428571428572,1.0,0.2142857142857143
7,0.5,8,0.875,1.0,0.21875
