direction_kind,direction_label,direction_seed,geometry,amp,p,n,lambda_eff,evidence_proxy,labeled_power,unlabeled_power,labeled_threshold,unlabeled_threshold,trials
k8,8-sparse,9,0.875,0.7,0.05,8192,0.15256146302392357,0.9707723199999997,1.0,0.34,0.09272558674488288,0.0266753570411282,400
k8,8-sparse,10,0.875,0.7,0.05,8192,0.15256146302392357,0.9707723199999997,1.0,0.3375,0.08852768496627263,0.030759988942240746,400
k8,8-sparse,11,0.875,0.7,0.05,8192,0.15256146302392357,0.9707723199999997,1.0,0.3325,0.07869421932030994,0.02024137216946798,400
k16,16-sparse,0,0.9375,0.7,0.05,8192,0.15256146302392357,1.0401131999999997,1.0,0.3875,0.08934185483112285,0.04284723299711164,400
k16,16-sparse,1,0.9375,0.7,0.05,8192,0.15256146302392357,1.0401131999999997,1.0,0.425,0.07788436251964094,0.03709192100078948,400
k16,16-sparse,2,0.9375,0.7,0.05,8192,0.15256146302392357,1.0401131999999997,1.0,0.4775,0.08589928181953556,0.008232203228039537,400
k16,16-sparse,3,0.9375,0.7,0.05,8192,0.15256146302392357,1.0401131999999997,1.0,0.3875,0.08239577298461294,0.029711675018345537,400
k16,16-sparse,4,0.9375,0.7,0.05,8192,0.15256146302392357,1.0401131999999997,1.0,0.4875,0.08623623136115084,0.016557563912985723,400
k16,16-sparse,5,0.9375,0.7,0.05,8192,0.15256146302392357,1.0401131999999997,1.0,0.4025,0.092410347880073,0.022976609643328625,400
k16,16-sparse,6,0.9375,0.7,0.05,8192,0.15256146302392357,1.0401131999999997,1.0,0.4575,0.08769898512286,0.017710407033179186,400
k16,16-sparse,7,0.9375,0.7,0.05,8192,0.15256146302392357,1.0401131999999997,1.0,0.455,0.08687510298741147,0.02483097740761833,400
k16,16-sparse,8,0.9375,0.7,0.05,8192,0.15256146302392357,1.0401131999999997,1.0,0.4075,0.08478198260694222,0.02083401585344009,400
k16,16-sparse,9,0.9375,0.7,0.05,8192,0.15256146302392357,1.0401131999999997,1.0,0.4625,0.07427696854482177,0.025847107015081514,400
k16,16-sparse,10,0.9375,0.7,0.05,8192,0.15256146302392357,1.0401131999999997,1.0,0.44,0.09152779416822687,0.027253503466972293,400
k16,16-sparse,11,0.9375,0.7,0.05,8192,0.15256146302392357,1.0401131999999997,1.0,0.3575,0.08594788531764302,0.02638333416148854,400
k32,32-sparse,0,0.96875,0.7,0.05,8192,0.15256146302392357,1.0747836399999997,1.0,0.51,0.08076552881855266,0.022969601316077542,400
k32,32-sparse,1,0.96875,0.7,0.05,8192,0.15256146302392357,1.0747836399999997,1.0,0.46,0.0733147029031533,0.02347875046067754,400
k32,32-sparse,2,0.96875,0.7,0.05,8192,0.15256146302392357,1.0747836399999997,1.0,0.465,0.07969937295685534,0.02912665535929238,400
k32,32-sparse,3,0.96875,0.7,0.05,8192,0.15256146302392357,1.0747836399999997,1.0,0.315,0.0830718601781419,0.02523882845857655,400
k32,32-sparse,4,0.96875,0.7,0.05,8192,0.15256146302392357,1.0747836399999997,1.0,0.52,0.08291796049727125,0.016711525707833973,400
k32,32-sparse,5,0.96875,0.7,0.05,8192,0.15256146302392357,1.0747836399999997,1.0,0.435,0.07547982868364497,0.025056305893264543,400
k32,32-sparse,6,0.96875,0.7,0.05,8192,0.15256146302392357,1.0747836399999997,1.0,0.5375,0.08208779418452933,0.021073875486121885,400
k32,32-sparse,7,0.96875,0.7,0.05,8192,0.15256146302392357,1.0747836399999997,1.0,0.425,0.07766545408471784,0.016634271880553064,400
k32,32-sparse,8,0.96875,0.7,0.05,8192,0.15256146302392357,1.0747836399999997,1.0,0.4275,0.07478992914996674,0.03214815300924013,400
k32,32-sparse,9,0.96875,0.7,0.05,8192,0.15256146302392357,1.0747836399999997,1.0,0.5175,0.0850840784097595,0.024602070311212795,400
k32,32-sparse,10,0.96875,0.7,0.05,8192,0.15256146302392357,1.0747836399999997,1.0,0.4825,0.0862453245190759,0.027379700026345963,400
k32,32-sparse,11,0.96875,0.7,0.05,8192,0.15256146302392357,1.0747836399999997,1.0,0.42,0.08073454170280811,0.023054519084795173,400
dense,dense,0,0.996105936425101,0.7,0.05,8192,0.15256146302392357,1.1051337952790485,1.0,0.4725,0.07963402726243388,0.017519339139536884,400
dense,dense,1,0.9960026315444676,0.7,0.05,8192,0.15256146302392357,1.1050191832577458,1.0,0.5025,0.08825917652438776,0.029575046490785163,400
dense,dense,2,0.9961464030804483,0.7,0.05,8192,0.15256146302392357,1.1051786911749277,1.0,0.51,0.08160573612795949,0.01770131675452765,400
dense,dense,3,0.9960928418364922,0.7,0.05,8192,0.15256146302392357,1.1051192674342907,1.0,0.4675,0.08174017701261957,0.02766794402803475,400
dense,dense,4,0.995994316143126,0.7,0.05,8192,0.15256146302392357,1.1050099577018007,1.0,0.515,0.08408835718320946,0.018036393150078992,400
dense,dense,5,0.9958551454057718,0.7,0.05,8192,0.15256146302392357,1.1048555541594265,1.0,0.47,0.09756521794206179,0.016451445624600484,400
dense,dense,6,0.9961087637543065,0.7,0.05,8192,0.15256146302392357,1.1051369320709712,1.0,0.5175,0.08331202169718911,0.02085971162989175,400
dense,dense,7,0.9963501201194787,0.7,0.05,8192,0.15256146302392357,1.1054047058750454,1.0,0.49,0.07593928277038155,0.019898815006166193,400
dense,dense,8,0.9962962110898397,0.7,0.05,8192,0.15256146302392357,1.1053448962821635,1.0,0.44,0.07861866356391996,0.015954734021100158,400
dense,dense,9,0.9963000008253606,0.7,0.05,8192,0.15256146302392357,1.1053491008196994,1.0,0.45,0.08126796659733622,0.03147256625227753,400
dense,dense,10,0.9962262990185161,0.7,0.05,8192,0.15256146302392357,1.1052673320493924,1.0,0.475,0.08776248315476474,0.014012623994260013,400
dense,dense,11,0.9957693817952791,0.7,0.05,8192,0.15256146302392357,1.1047604033718497,1.0,0.545,0.08643907268318629,0.024043287869154023,400
pc_orth,PC-orth,0,0.9960757056291564,0.7,0.05,8192,0.15256146302392357,1.1051002555991463,1.0,0.455,0.08703750116318738,0.03175236908310392,400
pc_orth,PC-orth,1,0.996213114619083,0.7,0.05,8192,0.15256146302392357,1.1052527045636489,1.0,0.4425,0.07881517205939106,0.026037460820309267,400
pc_orth,PC-orth,2,0.9952734364642911,0.7,0.05,8192,0.15256146302392357,1.1042101748009283,1.0,0.5175,0.08284094357737287,0.037453129690374724,400
pc_orth,PC-orth,3,0.9960537562024866,0.7,0.05,8192,0.15256146302392357,1.1050759037181737,1.0,0.42,0.08873237080658003,0.01489731778161165,400
pc_orth,PC-orth,4,0.9958783212844995,0.7,0.05,8192,0.15256146302392357,1.1048812667326384,1.0,0.4,0.08873974078569306,0.014070282597047809,400
pc_orth,PC-orth,5,0.995450152442696,0.7,0.05,8192,0.15256146302392357,1.1044062330641706,1.0,0.425,0.08718501318238478,0.0180398053307764,400
pc_orth,PC-orth,6,0.9961314465552207,0.7,0.05,8192,0.15256146302392357,1.1051620975969911,1.0,0.5225,0.0831860436342243,0.020237082879924238,400
pc_orth,PC-orth,7,0.9959829244783835,0.7,0.05,8192,0.15256146302392357,1.1049973191728741,1.0,0.495,0.07605132923750273,0.02138122555346681,400
pc_orth,PC-orth,8,0.9962295527500061,0.7,0.05,8192,0.15256146302392357,1.1052709419150692,1.0,0.4575,0.08347923630690937,0.022097861414390903,400
pc_orth,PC-orth,9,0.9960145218179838,0.7,0.05,8192,0.15256146302392357,1.105032374970211,1.0,0.545,0.08067624454237574,0.02470504466563644,400
pc_orth,PC-orth,10,0.9961886797136097,0.7,0.05,8192,0.15256146302392357,1.1052255951580772,1.0,0.525,0.08260162155524386,0.021675341860294066,400
pc_orth,PC-orth,11,0.9957685537760429,0.7,0.05,8192,0.15256146302392357,1.10475948472253,1.0,0.4325,0.0911696194740729,0.01184293915797686,400
