direction_kind,direction_label,direction_seed,geometry,amp,p,n,lambda_eff,labeled_power,unrestricted_cov_power,feature_independent_power,labeled_threshold,unrestricted_cov_threshold,feature_independent_threshold,trials
k4,4-sparse,1,0.75,0.7,0.05,8192,0.15256146302392357,1.0,0.45,0.3175,0.0872818377491463,0.02072969048390291,0.020502113730277185,400
k4,4-sparse,2,0.75,0.7,0.05,8192,0.15256146302392357,1.0,0.49,0.2625,0.07310943139741993,0.03800912532318976,0.03769751524367222,400
k4,4-sparse,3,0.75,0.7,0.05,8192,0.15256146302392357,1.0,0.495,0.32,0.08847599993608062,0.021687222570462943,0.0241316313169286,400
k4,4-sparse,4,0.75,0.7,0.05,8192,0.15256146302392357,1.0,0.56,0.3325,0.0824945819040317,0.03247351645074179,0.034145699686729626,400
k4,4-sparse,5,0.75,0.7,0.05,8192,0.15256146302392357,1.0,0.455,0.3675,0.09413093269404442,0.017319170877014217,0.015121286768322391,400
k4,4-sparse,6,0.75,0.7,0.05,8192,0.15256146302392357,1.0,0.53,0.2925,0.07916619732086047,0.02071602500021161,0.024200207032238723,400
k4,4-sparse,7,0.75,0.7,0.05,8192,0.15256146302392357,1.0,0.5275,0.3275,0.07768695258178403,0.03631344472033646,0.03968138728167511,400
k4,4-sparse,8,0.75,0.7,0.05,8192,0.15256146302392357,1.0,0.5125,0.2925,0.09399668938118444,0.01625323934485041,0.011760262251293344,400
k4,4-sparse,9,0.75,0.7,0.05,8192,0.15256146302392357,1.0,0.5275,0.445,0.07652009547050284,0.022045387221899984,0.02068389715994238,400
k4,4-sparse,10,0.75,0.7,0.05,8192,0.15256146302392357,1.0,0.51,0.345,0.08361968413202653,0.033273150414696105,0.032895660276130015,400
k4,4-sparse,11,0.75,0.7,0.05,8192,0.15256146302392357,1.0,0.4325,0.305,0.07665249168504977,0.025839603002511712,0.02620186918203122,400
k8,8-sparse,0,0.875,0.7,0.05,8192,0.15256146302392357,1.0,0.4825,0.395,0.09152833737515635,0.01432003207222647,0.01716848490790815,400
k8,8-sparse,1,0.875,0.7,0.05,8192,0.15256146302392357,1.0,0.525,0.46,0.08545620931667777,0.028139589615396563,0.028197994059317496,400
k8,8-sparse,2,0.875,0.7,0.05,8192,0.15256146302392357,1.0,0.475,0.415,0.08038043673751195,0.027879028864212268,0.027487150849680692,400
k8,8-sparse,3,0.875,0.7,0.05,8192,0.15256146302392357,1.0,0.5025,0.4275,0.07894482787411983,0.02766463389603648,0.025475411698499876,400
k8,8-sparse,4,0.875,0.7,0.05,8192,0.15256146302392357,1.0,0.565,0.5,0.08239342183985274,0.02392843702891908,0.0245185422670394,400
k8,8-sparse,5,0.875,0.7,0.05,8192,0.15256146302392357,1.0,0.345,0.2625,0.08173113954749484,0.024041531037803765,0.023398601691521564,400
k8,8-sparse,6,0.875,0.7,0.05,8192,0.15256146302392357,1.0,0.45,0.345,0.08357242280726185,0.014190449436128717,0.014292472939137863,400
k8,8-sparse,7,0.875,0.7,0.05,8192,0.15256146302392357,1.0,0.495,0.3825,0.08757613439659767,0.015306684806905533,0.017014812432900716,400
k8,8-sparse,8,0.875,0.7,0.05,8192,0.15256146302392357,1.0,0.4325,0.3975,0.08802774292695259,0.005092785913178894,0.005931870810695694,400
k8,8-sparse,9,0.875,0.7,0.05,8192,0.15256146302392357,1.0,0.495,0.34,0.09272558674488288,0.021054946108807353,0.0266753570411282,400
k8,8-sparse,10,0.875,0.7,0.05,8192,0.15256146302392357,1.0,0.42,0.3375,0.08852768496627263,0.02808425976936646,0.030759988942240746,400
k8,8-sparse,11,0.875,0.7,0.05,8192,0.15256146302392357,1.0,0.4275,0.3325,0.07869421932030994,0.020774387990681986,0.02024137216946798,400
k16,16-sparse,0,0.9375,0.7,0.05,8192,0.15256146302392357,1.0,0.455,0.3875,0.08934185483112285,0.04126752810181618,0.04284723299711164,400
k16,16-sparse,1,0.9375,0.7,0.05,8192,0.15256146302392357,1.0,0.45,0.425,0.07788436251964094,0.035818534364559326,0.03709192100078948,400
k16,16-sparse,2,0.9375,0.7,0.05,8192,0.15256146302392357,1.0,0.5075,0.4775,0.08589928181953556,0.008645642267134098,0.008232203228039537,400
k16,16-sparse,3,0.9375,0.7,0.05,8192,0.15256146302392357,1.0,0.455,0.3875,0.08239577298461294,0.027350211227732728,0.029711675018345537,400
k16,16-sparse,4,0.9375,0.7,0.05,8192,0.15256146302392357,1.0,0.5475,0.4875,0.08623623136115084,0.016359997948615077,0.016557563912985723,400
k16,16-sparse,5,0.9375,0.7,0.05,8192,0.15256146302392357,1.0,0.44,0.4025,0.092410347880073,0.024177877164538154,0.022976609643328625,400
k16,16-sparse,6,0.9375,0.7,0.05,8192,0.15256146302392357,1.0,0.5025,0.4575,0.08769898512286,0.01847811887951398,0.017710407033179186,400
k16,16-sparse,7,0.9375,0.7,0.05,8192,0.15256146302392357,1.0,0.4475,0.455,0.08687510298741147,0.02585921808708944,0.02483097740761833,400
k16,16-sparse,8,0.9375,0.7,0.05,8192,0.15256146302392357,1.0,0.495,0.4075,0.08478198260694222,0.019158186905322356,0.02083401585344009,400
