pair_id,variant_id,objective_id,capacity_id,geometry,seed,train_seed,data_seed,validation_seed,target_cosine,recovered,certificate_pass,certificate_cosine_lower_bound,objective_loss
mse:d32-k4:axis:20261104,vanilla-random,mse,d32-k4,axis,20261104,2026920401,20261814010,20262014010,0.593544602394104,0,0,0.5148716184159619,0.1099073588848114
mse:d32-k4:axis:20261104,spectral-warm-start,mse,d32-k4,axis,20261104,2026920401,20261814010,20262014010,0.9807140231132507,1,1,0.9428316094650074,0.1037108302116394
mse:d32-k4:dense:20261104,vanilla-random,mse,d32-k4,dense,20261104,2026920401,20261814011,20262014011,0.5741415031093181,0,0,0.528095633335463,0.10801395028829575
mse:d32-k4:dense:20261104,spectral-warm-start,mse,d32-k4,dense,20261104,2026920401,20261814011,20262014011,0.9570152497580822,1,1,0.9200515535462884,0.11300894618034363
mse_l1:d16-k2:axis:20261104,vanilla-random,mse_l1,d16-k2,axis,20261104,2026920410,20261814100,20262014100,0.9827760457992554,1,1,0.9451043346808402,0.43691006302833557
mse_l1:d16-k2:axis:20261104,spectral-warm-start,mse_l1,d16-k2,axis,20261104,2026920410,20261814100,20262014100,0.9857374429702759,1,1,0.9526027421046623,0.3992682695388794
mse_l1:d16-k2:dense:20261104,vanilla-random,mse_l1,d16-k2,dense,20261104,2026920410,20261814101,20262014101,0.8959428857589776,1,1,0.854926862468966,0.3890317678451538
mse_l1:d16-k2:dense:20261104,spectral-warm-start,mse_l1,d16-k2,dense,20261104,2026920410,20261814101,20262014101,0.985718902589449,1,1,0.9494835132117689,0.4017839729785919
mse_l1:d32-k4:axis:20261104,vanilla-random,mse_l1,d32-k4,axis,20261104,2026920411,20261814110,20262014110,0.8028673529624939,1,0,0.7505768235562367,0.11810729652643204
mse_l1:d32-k4:axis:20261104,spectral-warm-start,mse_l1,d32-k4,axis,20261104,2026920411,20261814110,20262014110,0.9758325219154358,1,1,0.9386575745418538,0.11208184063434601
mse_l1:d32-k4:dense:20261104,vanilla-random,mse_l1,d32-k4,dense,20261104,2026920411,20261814111,20262014111,0.5608592487928246,0,0,0.4978061583671387,0.11203780770301819
mse_l1:d32-k4:dense:20261104,spectral-warm-start,mse_l1,d32-k4,dense,20261104,2026920411,20261814111,20262014111,0.9589332263932675,1,1,0.9237470000250797,0.10453445464372635
mse_l2:d16-k2:axis:20261104,vanilla-random,mse_l2,d16-k2,axis,20261104,2026920420,20261814200,20262014200,0.030238980427384377,0,0,0.0,0.40040823817253113
mse_l2:d16-k2:axis:20261104,spectral-warm-start,mse_l2,d16-k2,axis,20261104,2026920420,20261814200,20262014200,0.9902401566505432,1,1,0.9542646058499967,0.397016316652298
mse_l2:d16-k2:dense:20261104,vanilla-random,mse_l2,d16-k2,dense,20261104,2026920420,20261814201,20262014201,0.902974895138024,1,1,0.8669215372780967,0.42392051219940186
mse_l2:d16-k2:dense:20261104,spectral-warm-start,mse_l2,d16-k2,dense,20261104,2026920420,20261814201,20262014201,0.9721312591233628,1,1,0.934025120814034,0.4119192361831665
mse_l2:d32-k4:axis:20261104,vanilla-random,mse_l2,d32-k4,axis,20261104,2026920421,20261814210,20262014210,0.0340912789106369,0,0,0.0,0.1516450196504593
mse_l2:d32-k4:axis:20261104,spectral-warm-start,mse_l2,d32-k4,axis,20261104,2026920421,20261814210,20262014210,0.957266092300415,1,1,0.917378738209858,0.10597807168960571
mse_l2:d32-k4:dense:20261104,vanilla-random,mse_l2,d32-k4,dense,20261104,2026920421,20261814211,20262014211,0.6444606591324021,0,0,0.5971305297472852,0.1007402315735817
mse_l2:d32-k4:dense:20261104,spectral-warm-start,mse_l2,d32-k4,dense,20261104,2026920421,20261814211,20262014211,0.9946658672014781,1,1,0.9603500345310881,0.1076217070221901
